 [2023-03-22 23:06:35,794] - [backtest_tmp.py] - [day:2023-03-20, 停机坪 在 5 天后, 总数:5, 成功数:0, 失败数:5, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:36,298] - [backtest_tmp.py] - [day:2021-09-16, 海龟交易法则 在 5 天后, 总数:237, 成功数:23, 失败数:210, 成功率: 9.70%, 失败率 88.61%]
 [2023-03-22 23:06:36,319] - [backtest_tmp.py] - [day:2021-09-16, 放量上涨 在 5 天后, 总数:9, 成功数:2, 失败数:7, 成功率: 22.22%, 失败率 77.78%]
 [2023-03-22 23:06:36,477] - [backtest_tmp.py] - [day:2021-09-16, 突破平台 在 5 天后, 总数:62, 成功数:10, 失败数:49, 成功率: 16.13%, 失败率 79.03%]
 [2023-03-22 23:06:36,948] - [backtest_tmp.py] - [day:2021-09-16, 均线多头 在 5 天后, 总数:209, 成功数:17, 失败数:190, 成功率: 8.13%, 失败率 90.91%]
 [2023-03-22 23:06:36,996] - [backtest_tmp.py] - [day:2021-09-16, 无大幅回撤 在 5 天后, 总数:20, 成功数:3, 失败数:17, 成功率: 15.00%, 失败率 85.00%]
 [2023-03-22 23:06:37,053] - [backtest_tmp.py] - [day:2021-09-16, 停机坪 在 5 天后, 总数:25, 成功数:4, 失败数:21, 成功率: 16.00%, 失败率 84.00%]
 [2023-03-22 23:06:37,299] - [backtest_tmp.py] - [day:2021-10-27, 海龟交易法则 在 5 天后, 总数:111, 成功数:19, 失败数:88, 成功率: 17.12%, 失败率 79.28%]
 [2023-03-22 23:06:37,299] - [backtest_tmp.py] - [day:2021-10-27, 放量上涨 在 5 天后, 总数:1, 成功数:0, 失败数:1, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:37,364] - [backtest_tmp.py] - [day:2021-10-27, 突破平台 在 5 天后, 总数:31, 成功数:10, 失败数:18, 成功率: 32.26%, 失败率 58.06%]
 [2023-03-22 23:06:37,455] - [backtest_tmp.py] - [day:2021-10-27, 均线多头 在 5 天后, 总数:43, 成功数:11, 失败数:30, 成功率: 25.58%, 失败率 69.77%]
 [2023-03-22 23:06:37,485] - [backtest_tmp.py] - [day:2021-10-27, 无大幅回撤 在 5 天后, 总数:10, 成功数:6, 失败数:3, 成功率: 60.00%, 失败率 30.00%]
 [2023-03-22 23:06:37,493] - [backtest_tmp.py] - [day:2021-10-27, 停机坪 在 5 天后, 总数:6, 成功数:0, 失败数:6, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:38,706] - [backtest_tmp.py] - [day:2023-03-18, 海龟交易法则 在 5 天后, 总数:437, 成功数:0, 失败数:437, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:38,731] - [backtest_tmp.py] - [day:2023-03-18, 放量上涨 在 5 天后, 总数:9, 成功数:0, 失败数:9, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:39,342] - [backtest_tmp.py] - [day:2023-03-18, 突破平台 在 5 天后, 总数:265, 成功数:0, 失败数:265, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:39,591] - [backtest_tmp.py] - [day:2023-03-18, 均线多头 在 5 天后, 总数:93, 成功数:0, 失败数:93, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:39,633] - [backtest_tmp.py] - [day:2023-03-18, 无大幅回撤 在 5 天后, 总数:13, 成功数:0, 失败数:13, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:39,637] - [backtest_tmp.py] - [day:2023-03-18, 停机坪 在 5 天后, 总数:6, 成功数:0, 失败数:6, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:41,066] - [backtest_tmp.py] - [day:2021-12-22, 海龟交易法则 在 5 天后, 总数:708, 成功数:90, 失败数:581, 成功率: 12.71%, 失败率 82.06%]
 [2023-03-22 23:06:41,091] - [backtest_tmp.py] - [day:2021-12-22, 放量上涨 在 5 天后, 总数:13, 成功数:1, 失败数:11, 成功率: 7.69%, 失败率 84.62%]
 [2023-03-22 23:06:41,226] - [backtest_tmp.py] - [day:2021-12-22, 突破平台 在 5 天后, 总数:62, 成功数:11, 失败数:46, 成功率: 17.74%, 失败率 74.19%]
 [2023-03-22 23:06:41,702] - [backtest_tmp.py] - [day:2021-12-22, 均线多头 在 5 天后, 总数:232, 成功数:23, 失败数:196, 成功率: 9.91%, 失败率 84.48%]
 [2023-03-22 23:06:41,759] - [backtest_tmp.py] - [day:2021-12-22, 无大幅回撤 在 5 天后, 总数:17, 成功数:1, 失败数:13, 成功率: 5.88%, 失败率 76.47%]
 [2023-03-22 23:06:42,942] - [backtest_tmp.py] - [day:2023-03-19, 海龟交易法则 在 5 天后, 总数:437, 成功数:0, 失败数:437, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:42,969] - [backtest_tmp.py] - [day:2023-03-19, 放量上涨 在 5 天后, 总数:9, 成功数:0, 失败数:9, 成功率: 0.00%, 失败率 100.00%]
 [2023-03-22 23:06:43,619] - [backtest_tmp.py] - [day:2023-03-19, 突破平台 在 5 天后, 总数:265, 成功数:0, 失败数:265, 成功率: 0.00%, 失败率 100.00%]
